split,label,feature_column,source_feature_name,rows,mean,median,std,q25,q75,min,max,nonzero_fraction
val,0,feature__epigen_ctcf,epigen_ctcf,223,-0.0256357080945254,-0.307827690248406,1.1518927850164615,-0.307827690248406,-0.307827690248406,-0.307827690248406,7.1393689985463125,1.0
val,0,feature__epigen_dnase,epigen_dnase,223,-0.11855970923974896,-0.11855970923974893,2.7755575615628914e-17,-0.11855970923974893,-0.11855970923974893,-0.11855970923974893,-0.11855970923974893,1.0
val,0,feature__epigen_rrbs,epigen_rrbs,223,-0.06136773243139604,-0.061367732431396024,1.3877787807814457e-17,-0.061367732431396024,-0.061367732431396024,-0.061367732431396024,-0.061367732431396024,1.0
val,0,feature__epigen_h3k4me3,epigen_h3k4me3,223,-0.16219035260501802,-0.2392285706221873,0.6184435392200975,-0.2392285706221873,-0.2392285706221873,-0.2392285706221873,6.034356285860224,1.0
val,0,feature__epigen_drip,epigen_drip,223,-0.19319282033716906,-0.1952131905179068,0.01626152412305827,-0.1952131905179068,-0.1952131905179068,-0.1952131905179068,-0.007974728053690143,1.0
val,0,feature__MNase,MNase,223,-0.29874454339115786,-0.4757739097267971,0.9369923157577402,-0.4757739097267971,-0.4757739097267971,-0.4757739097267971,8.414347711914104,1.0
val,1,feature__epigen_ctcf,epigen_ctcf,1511,-0.025440440556484516,-0.307827690248406,0.9745050528288913,-0.307827690248406,-0.307827690248406,-0.307827690248406,7.1393689985463125,1.0
val,1,feature__epigen_dnase,epigen_dnase,1511,0.02583603261335849,-0.11855970923974893,0.9909478649806084,-0.11855970923974893,-0.11855970923974893,-0.11855970923974893,9.555199532581893,1.0
val,1,feature__epigen_rrbs,epigen_rrbs,1511,-0.019938923317846805,-0.061367732431396024,0.7951184041534543,-0.061367732431396024,-0.061367732431396024,-0.061367732431396024,20.462871798903976,1.0
val,1,feature__epigen_h3k4me3,epigen_h3k4me3,1511,-0.03417018060504646,-0.2392285706221873,0.9976243628158057,-0.2392285706221873,-0.2392285706221873,-0.2392285706221873,9.472203095759253,1.0
val,1,feature__epigen_drip,epigen_drip,1511,0.16829321480097312,-0.1952131905179068,1.3825025689925512,-0.1952131905179068,-0.1952131905179068,-0.1952131905179068,5.655988761488864,1.0
val,1,feature__MNase,MNase,1511,1.2164704456195408,0.4047117104543582,2.300661292558092,-0.13146996049098894,2.043435265666039,-0.4757739097267971,31.75091696872155,1.0
